id,title,uploadedAt,duration
eE6d09Ak5xw,ندى تشتكي لعائشة رضي الله عنها,2019-07-26,00:37:14
BJyxDTOFoaw,جريمة جرش,2019-11-15,00:06:15
r2M_YyM8dpU,تحرير المرأة الغربية - القصة الكاملة,2019-12-13,00:40:46
xq8OYs7cvNw,رامبو ينقذ مسلمة!,2019-12-21,00:37:30
PJ_kK7R7Qek,المرأة والمهمة المنسية,2020-01-10,00:10:07
AhQFd46pzTs,لماذا نخاطب المرأة؟ أين الخطاب للرجل؟,2020-01-18,00:13:57
rIOQYxNnJ6o,المرأة الخارقة (قبل أن تتأله المسلمة),2020-01-19,00:33:29
FAWan1he8Jw,الإسلام وضرب المرأة,2020-01-27,00:33:34
PHFFVzP0OVU,عرض الزواج,2020-02-02,00:10:50
FuKgeYdI_ww," أنا حرة ",2020-02-13,00:35:52
uit1TdwOnu0,"مناقشة الاعتراضات على حلقة "أنا حرة" المتعلقة بالقوامة",2020-02-19,00:22:15
7zraAjSk6xs,ليطمئن قلبُكِ,2020-02-27,00:21:17
LffIOyfDOgI,"موظفة حسنة المظهر" !!",2020-02-29,00:03:16
f-dXT0shjRY,المرأة والبحث عن الذات,2020-05-12,00:21:11
gg58EV89J4k,البحث عن الذات في الزواج (لماذا يفشل كثير من الزواجات؟),2020-05-17,00:10:29
wn8bjIQiHh0,أنا مش شغالة البيت,2020-05-29,00:31:02
bxrHXsPw9O4,"بَس تربية؟",2020-06-07,00:38:11
opY_f5ErzZo,المدارس..تعليم أم تعليب؟,2020-07-08,00:30:55
TZbN4rFnBYY,المدارس - جذور المشكلة وملامح العلاج,2020-09-07,00:33:38
kxzBHSHjq1E,"دعوات إلى "التحرر" من الحجاب",2020-12-22,00:09:05
YenqKqV_u6Y,"رسالة إلى "المرأة القوية المستقلة",2022-12-04,00:04:56
