id,title,uploadedAt,duration
S8AUfOji-OI,اسمح لي أسرق أولادك-قانون الطفل,2022-07-30,00:40:06
Tl7l2R2xFUQ,عندما يدير المعركة: إبليس شخصياً!,2022-08-05,00:37:26
zA9p2HihqpA,الرد على المدافعين عن قانون الطفل,2022-08-07,00:15:37
ZMSDZQyo47k,عندما يصبح مغتصب الأطفال مُشرعا لحقوقهم! - كيف قتل كِنزي الطفولة؟,2022-08-13,00:26:03
bLdyfdkTiJ4,حقائق صادمة! التجارة باسم حقوق الطفل والمرأة,2022-08-19,00:37:17
3S8uOX3L_1M,"الأمم المتحدة تحرض بناتكم على الهروب من البيت للعيش مع "العشيقات"!",2022-08-23,00:05:37
IwrmkOc42wM,"قانون الطفل - إياد يرد على "إياد",2022-08-29,00:28:53
loR_S7M2m7I,تحذير: الأمم المتحدة تحرض أبناء المسلمين على الهروب من منازلهم! #قانون_الطفل_مسموم #الاقرار_عار,2022-09-03,00:05:22
OWnUubgZtAM,"عبارة واحدة تبطل التعديلات "المطَمْئنة" في قانون الطفل !",2022-09-12,00:08:23
gpIMAxdsnYE,قبل أن تحل المصيبة !,2022-09-14,00:27:30
pUY989TE-cs,لا تملوا...إنهم أبناؤنا!,2022-09-17,00:01:47
PpsnDos32vk,"ما بعد إقرار "النواب" لقانون الطفل",2022-09-22,00:07:24
Icp6pnfqjNI,حقيقة المؤسسات السيداوية في فلسطين,2022-12-31,00:18:52
M3Eg557qRE8,"الجندر "النوع الاجتماعي" - حقيقته وما وراءه",2023-05-11,00:28:52
MOiUbaPBsI8,الاستسلام للشيطان - الجندر 2,2023-05-17,00:13:10
PxgCd3-k02Q,النوع الاجتماعي-الدين الجديد,2023-05-25,00:07:54
pp6uP2SB7z8,إبرة التخدير لنشرالنوع الاجتماعي,2023-06-01,00:21:11
W1RrD9rptuY,عن هالة عاهد-بهدوء,2023-06-23,00:14:55
ngu4wVihs7s,"أخلاقيات" الأونروا وأهل غزة",2023-09-20,00:04:15
