id,title,uploadedAt,duration
mVOzhHlENXs,القرآن الكريم بين الوحي المُنزل والتحدّي الأبديّ,2024-03-11,00:12:01
aHRG1KmqdlI,القرآن كلام الله أم أدب محمّد صلى الله عليه وسلّم؟,2024-03-12,00:12:17
Tb1keC1Xrl4,أخطاء علمية أم إعجاز بياني؟ تفنيد الشبهات حول القرآن,2024-03-13,00:10:06
FHBWDYMInl8,معجزة لكل زمان: القرآن بين العربيّة وعالميّة الرسالة,2024-03-14,00:12:18
YD8nY0ntXMk,القرآن كما رآه العلماء: قصص إيمانية عابرة للحدود,2024-03-15,00:11:40
cfyI-8hoWtU,القرآن: كتاب الله المحفوظ بين السطور والصدور,2024-03-16,00:11:05
gZcWP5s59Yk,التوراة والإنجيل مقابل القرآن: قصة التحريف والحفظ,2024-03-17,00:09:23
-duHpKHA1Yw,القتال في الإسلام: دفاع أم عدوان؟,2024-03-18,00:10:26
mHHwqmB6ZUE,كيف نفهم الجهاد والقتال في الإسلام؟,2024-03-19,00:10:45
4SdkWmift40,هل شُرّع الجهاد من أجل قتل الناس ونشر الدين بالقوة؟,2024-03-20,00:11:04
IkxD4plkhEI,دور المرأة في المجتمع الإسلامي: ما بين الأمس واليوم,2024-03-21,00:11:56
fb4-1vPW2Zc,التعدّديّة في الإسلام: بين الحاجة والعدالة,2024-03-22,00:13:30
ukcarYVV-wg,القرآن: إعجاز بلا اقتباس,2024-03-23,00:11:38
8xvloi5HU0U,زواج النبي صلى الله عليه وسلم من زينب: بين الوحي والافتراءات,2024-03-24,00:12:36
VcHlmrYDg0w,لماذا سُمح للنبي بأكثر من أربع زوجات؟,2024-03-25,00:11:37
5vzWkuOKiyA,الزهد القرآني: ليس تركًا للعمل بل تحريرًا من قيود الدنيا,2024-03-26,00:12:01
NYy4_hxGPgg,فن التكرار في القرآن: بين التأثير الروحي والبلاغي,2024-03-27,00:13:01
od_1X4FlH84,التناقضات المزعومة في القرآن: تحليل وتفسير,2024-03-28,00:13:04
GJ2EClxRojA,لماذا اختار الله العربيةَ لغةً للقرآن؟,2024-03-29,00:14:03
scP49TOTzQU,دقائق اللغة والإعجاز في القرآن,2024-03-30,00:15:36
