id,title,uploadedAt,duration
-No7eaFL4Rk,الرسائل العقدية داخل الرسوم المتحركة,2020-08-30,00:12:37
hcJ3LnPSLCw,Evil messages in cartoon movies,2021-08-06,00:07:25
gQv_afAsG3s,مراجعة فكرية لفيلم ديزني التحول للأحمر - Turning Red Review,2022-04-13,00:05:57
ZTI6OfooVrs,مراجعة فكرية لفيلم (روح) - Soul Review,2022-05-25,00:09:50
dnw2Sxug_l4,مراجعة فكرية لفيلم الدببة الثلاثة - وكلمة مهمة (جدا) عن كرتون نتورك!,2022-06-24,00:05:40
HX_kPfasNFc,"مراجعة فكرية لفيلم ديزني "لوكا" المرشح لأوسكار 2022",2022-07-18,00:05:38
Svr7YkKHjm8,مراجعة فكرية لفيلم وحش البحر 2022,2022-08-03,00:06:45
LKCGuAy8fgo,مراجعة فكرية لفيلم دوري الحيوانات الخارقة - DC League of Super-Pets,2022-09-05,00:07:54
YGZ261by9ZA,مراجعة فكرية لفيلم بينوكيو الحائز على أوسكار 2023 - Guillermo del Toro's Pinocchio,2023-02-11,00:07:00
KiTvYu6oui4,مراجعة فكرية لفيلم الروبوت البري - أخيرا فيلم حلو ومناسب,2024-12-16,00:06:12
cj5kTgOldc4,عم خليل - مراجعة فكرية لفيلم المخطوفة.. (فك رموزه وشفراته) - Spirited Away,2025-02-03,00:09:36
qGFTf-xL_e0,عم خليل - لقاء مع طرمبو !!,2025-06-06,00:08:30
