id,title,uploadedAt,duration
okufiGEv-mA,تلك الدار الآخرة,2024-03-12,00:16:43
LEKxsJBh5Qw,شهر رمضان الذي أنزل فيه القرآن,2024-03-13,00:19:17
RwHS9ercNHY,فاذكروني أذكركم,2024-03-14,00:17:15
2XLWbezkoaA,وكلهم آتيه يوم القيامة فردا,2024-03-15,00:15:17
1tcneCB2Q0Q,قل يا عبادي الذين أسرفوا على أنفسهم,2024-03-16,00:16:29
Cbcqpgwjva0,لقد جاءكم رسول من أنفسكم,2024-03-17,00:17:03
qqoiG0R31JE,إنما يخشى الله من عباده العلماء,2024-03-18,00:16:29
sRFg2Kd1-Zs,إياك نعبد وإياك نستعين,2024-03-19,00:15:18
mtLsreCRfl0,فلا تزكوا أنفسكم هو أعلم بمن إتقى,2024-03-20,00:17:17
ntsAFcFi1NY,آية الكرسي,2024-03-21,00:16:19
vDJh_HwUhWc,وما أرسلناك إلا رحمة للعالمين,2024-03-22,00:16:25
IGJRO8cWyoY,كل من عليها فان,2024-03-23,00:16:25
w2rMdoeaA8E,وإنه لذكر لك ولقومك,2024-03-24,00:15:37
UmsdzSXfgFY,ما يلفظ من قول إلا لديه رقيب عتيد,2024-03-25,00:15:45
OszEl27GyVc,إن في ذلك لذكرى لمن كان له قلب,2024-03-27,00:16:26
foXBXMeyT6w,فاستقم كما أمرت,2024-03-28,00:16:44
SPlVao3B1dM,أن يكون لهم الخيرة,2024-03-29,00:18:39
956sUyt8EZs,ويحذركم الله نفسه,2024-03-30,00:15:55
dW2-V01cRHQ,الذين إذا أصابتهم مصيبة,2024-03-31,00:15:41
oDLhOR2rhbg,ونزلنا عليك الكتاب تبياناً لكل شئ,2024-04-01,00:15:17
G8LNqCzv2gU,ألم يأن للذين آمنوا أن تخشع قلوبهم لذكر الله,2024-04-03,00:13:59
cxDFXpaT0pk,واستعينوا بالصبر والصلاة,2024-04-04,00:16:12
0f41U1_eGYc,وما أمروا إلا ليعبدوا الله مخلصين,2024-04-05,00:16:46
7jk-BILD3J0,فقلت استغفروا ربكم إنه كان غفارا,2024-04-07,00:16:20
tC7ICL7GjHE,وألف بين قلوبهم,2024-04-07,00:16:46
_w3m1Ny_8qg,وعاشروهن بالمعروف,2024-04-08,00:19:07
6nYoT87CX9o,من عمل صالحا من ذكر أو أنثى,2024-04-11,00:16:35
