id,title,uploadedAt,duration
_o4Ow2Yx4ys,تمهيد,2021-04-13,00:11:50
bzM2ikmYUAw,تضاريس قرآنية,2021-04-14,00:09:45
_NgDhEr5Fws,تضاريس قرآنية 2,2021-04-15,00:09:51
vNG6pUyHckw,سُوْر القرآنِ العظيم,2021-04-16,00:10:24
uEnpl3mq5ME,سبائك قرآنية,2021-04-17,00:09:43
aPFK0jW-q-k,تماسك الإيقاع القرآني,2021-04-18,00:09:47
TrBKRJen5Wc,بنية الإيقاع القرآني,2021-04-19,00:09:46
trcA2PpQCUc,بنية الإيقاعِ القرآنيِّ في وضعية الكلمة,2021-04-20,00:09:50
MD3F-blS0WM,بنية الإيقاعِ القرآنيِّ في وضعية السبائك,2021-04-21,00:10:34
E-yMEanDlAU,الأفق الجديد للغة القرآنية,2021-04-22,00:09:26
oUsT5--0VHY,الأفق اللغوي في القراءات القرآنية,2021-04-23,00:09:31
PJUDdtchagI,المنهج الأدبي للقرآن,2021-04-24,00:09:30
mW80enweXKQ,نظام البلوكشين في القرآن الكريم,2021-04-25,00:09:12
ED_5lz3u0sc,نظامُ تَرابُطِ الكتلِ الخارجي,2021-04-26,00:10:16
p9z8XgYdATk,نظام الكتل في المفردة القرآنية,2021-04-27,00:10:10
LYRt-GiUhXo,نظام الكتل في المفردة القرآنية 2,2021-04-28,00:10:35
_JwnH3yYzhE,نظام الكتل في المفردة القرآنية 3,2021-04-29,00:10:06
iJP_SgLwzaU,نظام الكتل في المفردة القرآنية 4,2021-04-30,00:09:53
5Cr3TGA8fT8,نظام الكتل في المفردة القرآنية 5,2021-05-01,00:11:34
SaNq6UoloEU,نظام الكتل في ترابط السبائك,2021-05-02,00:09:24
9_MLc6n41Cw,نظام الكتل في ترابط السبائك 2,2021-05-03,00:09:50
jREAX1SsZpI,نظام الكتل في ترابط السبائك 3,2021-05-04,00:08:39
dU54RlrC0xY,نظام الكتل في ترابط السبائك 4,2021-05-05,00:09:29
gO7p8ALcK0M,ترابط الكتل في وحدة موضوعية,2021-05-06,00:09:07
GbK1bapWJGs,النظام الكلي,2021-05-07,00:09:32
p3NWudUXI6s,نماذج بيانية معجزة 1,2021-05-08,00:09:58
_9Keqp_81pk,نماذج بيانية معجزة 2,2021-05-09,00:09:23
ksBL7doRV2M,نماذج بيانية معجزة 3,2021-05-10,00:09:18
gRGmaNbrcO8,نماذج بيانية معجزة 4,2021-05-11,00:09:10
nnK4yajhtgk,غاية وتوصية,2021-05-12,00:08:41
