id,title,uploadedAt,duration
HcUT0qvi_9Q,جسور توما الأكويني,2021-11-29,00:11:01
qZgzLX-5BEc,سكين أوكام,2021-12-06,00:09:12
UrD3Cl5Mz7g,التطور العلمي والتخلف الكنسي,2021-12-13,00:09:46
j4CiRfZv4pY,دين العقل,2021-12-20,00:13:17
s18hbrYz8oU,نظريات استهداف الإيمان والعقل ونهايتها,2021-12-27,00:11:37
5T_FGxrk89E,مبادئ العقل ومألوفاته,2022-01-03,00:13:44
rEvU4w2kj80,قيمة العقل وحدوده,2022-01-10,00:12:33
AgAEvTBarK0,مشكلة المسيحية ومشكلة تعميم التعامل معها,2022-01-18,00:12:36
LTdUm4jM2Tw,خلفيات العقلانية,2022-01-24,00:13:35
RdLKcMPVm34,العلم التجريبي في السياق الغربي,2022-01-31,00:10:22
4uICdZhACwU,ميتافيزيقيا العلم التجريبي,2022-02-07,00:13:18
Abwp8WwViGo,العلم وحدوده في الفكر الإسلامي,2022-02-14,00:11:46
WcX83upWiTE,تفسير العلم وآراء العلماء,2022-02-21,00:09:07
VVUjkXLz2uQ,علوم الوحي وعلوم الطبيعة,2022-02-28,00:13:14
93DTIea6290,هل تحتاج معرفة الله إلى دليل؟,2022-03-07,00:08:17
MlgJLrS9Fs4,دليل الفطرة,2022-03-15,00:11:55
UZlpEAWE4Qk,آيات الآفاق والأنفس,2022-03-21,00:13:32
SDhqZfSOnPg,العناية والحدوث والسببية,2022-04-10,00:12:09
BCPXk53T1Uk,الاعتراض على الدليل,2022-04-14,00:07:12
