id,title,uploadedAt,duration
_C9Vo7z2Dts,العنصرية العلمية,2020-12-30,00:14:03
VVnu1zf0fwI,الجندي أو الكشاف (الإنحياز التأكيدي),2021-01-06,00:13:17
-BJP2g9x0_w,عقلنة اللا معقول (التنافر المعرفي),2021-01-14,00:08:14
s2UZYjPkhTo,لايكات (الشهرة وعرض الذات),2021-01-26,00:13:10
mnxs_0LbEaw,علم الجهل (العقل الجمعي),2021-02-09,00:13:31
a_ov042fXA0,غسيل مخ (عقيدة الصدمة),2021-02-26,00:13:26
_fRYBDhlPpM,وهم التفوق (الانحياز المعرفي),2021-03-16,00:13:38
esS-dceqX-o,كعكي (عقد ضبط النفس),2021-04-06,00:11:13
yC0ht273GHQ,معضلة الذكاء الفاشل,2021-06-14,00:15:32
CnDSA4WnFtc,صناعة الخوف,2021-07-03,00:11:31
STEofSS99Ig,معضلة الشر,2021-08-05,00:16:15
WV5QLl18jGk,معضلة المجرم,2021-08-28,00:15:54
lQDmgKcyy-A,معضلة الإعلام,2021-10-03,00:16:45
awsl3SGwCqs,معضلة الأخلاق,2021-11-14,00:21:36
quFl6cW86Gw,هل نعيش في محاكاة؟,2022-01-22,00:17:22
v1NY4WjqlHE,الأيديولوجيا,2022-03-29,00:21:02
D7Fm1BPs-N8,عقدة المؤامرة,2022-06-13,00:27:39
uydHfBeOMUA,البتكوين نقد بدون غطاء,2022-07-27,00:26:22
A7v9h2lh4L4,اقتصاد الفقاعة,2022-08-28,00:20:05
xW522ADJ8P4,أنا منحوس,2022-09-25,00:15:31
QR9XZ849wlk,الكذاب في حياتك .. عصر ما بعد الحقيقة,2022-10-31,00:28:53
_pOe2kUFS2o,كش ملك.. تحدي الذكاء الصناعي.. كيف وصلنا إلى هنا؟,2023-05-25,00:34:39
