id,title,uploadedAt,duration
RyYbwOIudCQ,تأصيل العلم,2022-09-07,00:27:17
R_pjlxQSJmY,تأصيل فهم القواعد الأصولية والفقهية,2022-09-14,00:24:56
L91xPIoDtcE,التمذهب,2022-09-21,00:28:50
CZeD345yH8g,نوازل المياه 1,2022-09-28,00:29:58
MjdcOZ2e4pg,نوازل المياه 2,2022-10-05,00:30:38
bLAQVQW5J94,النية وأثرها في أبواب الشريعة 1,2022-10-12,00:32:57
pSnqKqYX3fk,النية وأثرها في أبواب الشريعة 2,2022-10-19,00:26:15
0-Hb_pWQgzM,نوازل طهارة المريض وصلاته,2022-10-26,00:30:14
tLWPDV6C138,النوازل في باب الرقية 1,2022-11-02,00:25:46
F72d16zWni4,النوازل في باب الرقية 2,2022-11-09,00:26:04
ck4OBzTgyrw,نوازل الصلاة,2022-11-16,00:23:59
