id,title,uploadedAt,duration
r-ml4VRFE4k,الحضارات العاقلة,2022-09-18,00:10:55
r8RboqgT9Pg,ما هي المادة المظلمة؟,2022-09-25,00:10:05
dO9TXHwfwBk,البلورات الزمنية,2022-10-02,00:08:27
FoFceF0D7Ec,الطاقة المظلمة,2022-10-09,00:07:42
LMh9bXA5oZ8,فرضية المحاكاة,2022-10-16,00:09:01
dfVbpZB3E4g,السفر عبر الزمن,2022-10-23,00:08:12
MEK2weUbBv0,العصر الجليدي,2022-10-31,00:08:36
BqmFYBg6BBg,تخيل البُعد الرابع,2022-11-06,00:08:43
eOHv5reKPAY,أثر الفراشة,2022-11-13,00:06:52
rymxkpSpqB8,انعكاس أقطاب الأرض,2022-11-20,00:07:15
ldczRJ7aSp4,اللاشيء؟,2022-12-04,00:09:08
