id,title,uploadedAt,duration
p6mANkD1yuw,كيف يستطيع العالم أجمع الاستفادة من الإسلام والقرآن ؟,2022-06-28,01:33:53
CDlq6sgTR2w,هل فشلت نظرية داروين ؟,2022-08-09,00:57:11
lDcqyynVD8U,أسباب وعلاج المثلية الجنسية لدى الذكور,2022-08-09,00:47:39
NsSk_RnkjoU,لماذا لم يحرّم الإسلام العبودية؟,2023-01-03,01:52:08
XnbT-sTakyI,من مات، الله أم تشارلز داروين؟,2023-03-02,01:24:25
kxMFKq9zr84,التحليل الأيديولوجي للإلحاد | د. نذير خان,2023-07-25,01:11:47
07GZVCFesnk,كيف يعادي الغرب المرأة ويحط من قيمتها ويجعلها سلعة وجسد بلا روح؟,2023-09-12,00:15:09
kJsFjzmi8SU,"ما هي جذور الصراع الفلسطيني - الإسرائيلي؟ | البروفيسور الأمريكي اليـهودي ""نورمان فنكلستاين""",2023-11-12,01:15:26
ooEcFyTpUQk,كيف يبرر الــيــهــود حذف فــلــســطــيــن من الخريطة؟,2024-02-25,00:09:18
Ttikf1zvq1o,كشف التاريخ الأسود لحركة الــمــثــلــيــة الــجــنــســيــة,2024-04-21,00:22:35
DeLEHd-coh0,لن نتخلى عن فطرة أطفالنا!,2024-05-26,00:03:57
xr0R8DhMffE,العلم أمام غوامض الكون,2024-06-02,00:32:56
KoUVQ3CDhcU,هل يمكن استبدال البشر؟,2024-07-21,00:10:35
UByOOhRTyF8,أهم الجدالات العلمية والفلسفية حول وجود الله,2024-08-11,01:06:31
7Pr74RkJbhw,أشهر الأكاذيب حول أصل الحياة,2024-11-03,00:14:27
8-SaN2k1PTI,كيف يبيع بعض العلماء الهواء؟,2024-11-17,00:05:35
TesCymufQU8,كيف تخدعنا الفكرة الوحيدة الممكنة؟,2024-11-24,00:03:10
TmbOMYp8D6c,نظرية داروين في مرمى النقد العلمي,2025-02-16,00:57:11
pwjGY1YBVyE,دليل مقلوب… هل تثبت الطفرات نظرية التطور أم تبطلها؟!,2025-02-23,00:18:06
