id,title,uploadedAt,duration
9mj63Y1bQG8,لماذا لا تقبلون التطبيع وقد عاهد النبي اليهود؟,2023-10-26,00:06:03
6wcc94Wc-QQ,يوسف زيدان يُنكر وجود المسجد الأقصى في القدس!,2023-11-02,00:05:10
0z1k88iAxXQ,إبراهيم عيسى.. هل الصراع مع إسـرائيل صراع ديني؟,2023-11-09,00:06:32
CAxfQMz-cFI,أحمد الجار الله… سنحاربهم بالتطبيع!,2023-11-16,00:04:41
pRpaUPNL_jI,محمد العيسى… عراب التطبيع الشرعي!,2023-11-23,00:06:50
gt9mxQE7hOk,هل نسبة أهل فلسطين للكنعانيين… تثبت أحقيتهم بهذه البلاد؟!,2023-11-30,00:04:12
2ZimS_CVkkA,هل أهل فلسطين مسؤولون عما يحدث لهم؟!,2023-12-07,00:04:02
JBDp7xkNHWQ,المقاومة، في سبيل الله أم في سبيل القومية؟,2023-12-14,00:04:02
uF0-RbpbXf0,المقاومة تماهي بين الدين والسياسة!,2023-12-21,00:05:25
2j8fWBypnAQ,يا أبا عبيدة جاهد بالسنن … المقاومة خوارج وليسوا من أهل السنة!,2023-12-28,00:06:24
ZWZATQ8Q6OY,مقاومة بلا سلاح,2024-01-04,00:05:02
8s88tdTK-oQ,أنفاق المقاومة,2024-01-11,00:05:21
Hru7_Z9lo9c,الطاعة الظالمة,2024-01-18,00:05:25
9OM5nuanqXk,البحيري واختراع الإجماع,2024-01-25,00:05:35
e_augsmvt34,إبراهيم عيسى وتأليف الشريعة,2024-02-01,00:05:53
VcTdWrSQJzk,المهندس شحرور والسرقة المتقنة!,2024-02-08,00:04:49
qXk54brZKL4,لماذا يشكك جاسم سلطان في نقل الحديث؟,2024-02-15,00:04:10
XdNmiqGf_C0,انتهى عصر علماء الدين!,2024-02-22,00:04:01
22xLEw-HlTs,العلمانية هي الحل!,2024-02-29,00:03:56
2_hlMruCXxk,أوزون: السنة كارثة الأمة,2024-03-07,00:05:16
AzlQpauOsW8,الكيالي: الرسول ﷺ هو القرآني الأول,2024-04-18,00:05:45
gZ_kZihfxt8,شحرور وإنكار أركان الإسلام,2024-04-25,00:05:48
PlEH0xudhlc,آمال قرامي وتعطيل آيات القرآن,2024-05-02,00:06:00
T_vdEL8gYFI,محمد حبش ونقد الأحاديث,2024-05-09,00:05:33
EqmQ-XiKsAU,دين بلا إلزام,2024-05-16,00:05:05
VCZK7xVFISI,أحمد عمارة وتحريف الدين,2024-05-23,00:04:40
a6Mro991R-U,ما الخطر في إنكار مؤسسة تكوين لحد الردة؟ |برنامج الحلقة 27,2024-05-30,00:03:28
Id5VvXSgqpc,"حرب ""تكوين"" مع الحجاب ",2024-06-06,00:05:39
-Kq9-XSYqf8,تكوين الإلحاد ومحو السنة,2024-06-13,00:03:50
YUPoZbAmHeo,حول حد الرجم,2024-06-27,00:04:00
Pgx4rMr0tLk,زكريا أوزون وإنكار تحريم الخمر,2024-07-04,00:04:59
hiYYNAn72-M,شحرور وترتيل الكنائس,2024-07-11,00:04:44
HFtmCMd82kw,عدنان إبراهيم: الرسول ليس مشرعًا,2024-07-18,00:05:00
5FPxSESd6KY,إسلام القرآن وإسلام الحديث,2024-07-25,00:04:02
cp161YoIixg,هل يتجدد الدين باختلاف الزمان والمكان؟,2024-08-01,00:03:06
xod-4Zl8Mi8,هل حرم الإسلام الفلسفة؟,2024-08-08,00:04:15
g7ZWmpn7Bbk,إسلام البحيري وتدليس التاريخ,2024-08-15,00:03:55
V9_aSKjXup0,القوامة الحديثة,2024-08-22,00:03:16
6oDNwAFEfGY,علي كيالي وإنكار الصراط,2024-08-29,00:03:28
fjtbK6az_9k,نوال السعداوي وإنكار الموت,2024-09-05,00:05:38
56ylyelRKuA,علي كيالي يهاجم سيدنا آدم!,2024-09-12,00:04:31
lZ50Kz8S-oo,عدنان إبراهيم والفهم الخاطئ للحجاب,2024-09-19,00:05:29
qqTSXGo-g7c,زكريا أوزون وصلاحية القرآن,2024-09-26,00:03:09
w8iSB9AToOc,شحرور وإنكار الملة,2024-10-03,00:04:14
O2NMjRukz6g,حسين سعدون والأحاديث السياسية,2024-10-10,00:07:33
00iOrtpHfU4,حبش والإبداع في الدين,2024-10-17,00:04:25
Py4q0DYQrvQ,يوسف صديق وانتهاء عصر الديانات,2024-10-24,00:03:49
PcQOdypzyPA,دارس القرآن الذي لم يقرأ القرآن!,2024-10-31,00:03:58
V1i27QDW520,يوسف صديق وتأليف معنى الإيمان,2024-11-07,00:03:41
5ibm4fj_-KY,عصيد والعوائق التراثية |برنامج الحلقة 50,2024-11-14,00:03:18
mFbsPnBM8Jo,إبراهيم عيسى وتشويه متعمد للتاريخ الإسلامي,2024-11-21,00:04:55
R1FBYRIaqj8,"الخشت وصنمية ""عدم الاتباع""",2024-11-28,00:05:28
