id,title,uploadedAt,duration
3sXDLo-14Fs,سهم الزمن,2022-05-08,00:09:19
cUxQn61MbpY,قطة شرودنجر,2022-05-08,00:09:36
z_fCpUHISrA,النسبية الخاصة,2022-05-08,00:11:17
0SP4c6wL2JY,الأكوان المتوازية,2022-05-08,00:09:49
EGBuB0eV5XI,النسبية العامة,2022-05-08,00:07:39
ojLrB3wZLJs,ما هي المادة؟,2022-05-08,00:07:14
TPltbslzVls,الثقوب السوداء,2022-05-08,00:08:39
uVxIx5ICv1s,المادة المضادة,2022-05-08,00:07:37
uKwd7gn1s24,تمدد الكون,2022-05-08,00:07:22
m1ESq2ujtBM,موجات الجاذبية,2022-05-15,00:07:45
RjwTe-dyGB8,التأثير الشبحي,2022-05-23,00:08:41
SVGzQERwd8A,الانفجار العظيم,2022-05-29,00:09:05
