id,title,uploadedAt,duration
PSRmGIkErjU,مدخل للتعليق على كتاب داوكنز زعيم الملحدين Outgrowing God,2022-08-10,00:26:31
jhk8nGARlQQ,داوكنز ومشكلة الدين,2022-09-04,00:31:22
qUA_V1v6X6A,إصدارات رواسخ.. حوار حول كتاب العلم وحقائقه,2022-09-04,00:24:15
bYmk4L2GQZI,داوكنز في مواجهة الإسلام والنصرانية,2022-09-04,00:29:01
7MFdVMGVYTc,داوكنز وقصة فلسفة الأخلاق,2022-09-04,00:34:28
gvD787J5uVA,داوكنز والحل الدارويني,2022-09-04,00:44:43
bl0eKR5WkAo,"النقد العلمي لبرنامج ThereIsNoClash ""لا تصادم""",2022-09-04,00:38:10
LmAsL48KuDQ,"النقد العلمي لبرنامج ThereIsNoClash ""لا تصادم"" 2",2022-09-04,00:32:48
ldAdutGeXmE,العوالم المتعددة بين العلم والعقيدة,2022-09-04,00:39:29
pSOg8iqfRzU,مفهوم الإله عند ألبرت أينشتاين,2022-09-04,00:39:36
7W_PqwNMMXg,ميكانيكا الكم والمباديء العقلية الضرورية,2022-09-04,00:46:21
nIzOIEaGTJM,الذاكرة الكونية والثقوب السود,2022-09-04,00:33:42
