id,title,uploadedAt,duration
WW3QN_8OodQ,تأويلات شحرور لنصوص القرآن الكريم… اجتهاد وإبداع أم عبث وتحريف؟,2023-02-05,00:09:01
23DR_QLnUT0,نفي الترادف بين الحقائق العلمية وجهالات شحرور,2023-02-12,00:11:44
Uo_-lQ2Xce8,أوهام شحرور في مفردات القرآن,2023-02-19,00:12:22
TLo_YsP--d4,نفي الترادف بين الكتاب والقرآن,2023-02-26,00:15:47
cYREsQFTgMY,محمد شحرور يُحلُّ محرمات في نص القرآن الكريم!,2023-03-05,00:10:16
ukwSm66_AHE,شحرور ينفي علم الله الأزلي ويصفه بأنه علم ديجيتال!,2023-03-12,00:12:31
Lg0BsMJ6HAY,شحرور ينسب إلى الله أنه سمح للرجل أن يتخذ عشيقة,2023-03-19,00:16:03
9Hx5uP5sRLs,خيانة علمية وأوهام وتعقيد في تأويلات القراءة المعاصرة لشحرور,2023-03-26,00:10:04
gORndpXTs6M,ماركسي يهدم منهج القراءة المعاصرة لشحرور!,2023-05-21,00:08:07
DVOhkrme0zY,القراءة المعاصرة لشحرور فيها جديد لكنها تخلو من التجديد,2023-05-28,00:11:42
A1A3uFtEjro,إعلان موت قراءة شحرور المعاصرة,2023-06-04,00:12:50
EM9SC4nfJI8,مسلمون بالإكراه… والجنة سيدخلها من لا يؤمن بها!,2023-06-11,00:13:10
