id,title,uploadedAt,duration
P7MOT-dxQKg,إبادة بني قريظة.. الحقيقة المُغيَّبة!,2022-08-08,00:20:27
-5d5rY5kqAw,سيريانية القرآن الكريم حقيقة أم أكذوبة,2022-08-10,00:05:43
ZGNXT_ohO2Y,هل العلوم الدنيوية تغنينا عن الدين؟,2022-08-10,00:06:48
YJ79BEfgVbE,أيُعقَل أن تكون الجنة للمسلمين فقط؟,2022-08-10,00:06:40
dzrAgWlRQ9g,كيف نصدق أن الإسلام دين حق؟,2022-08-10,00:22:34
GtO7Gnebgow,نظرية الكوانتم الفيزيائية.. في صالح الإيمان أم الإلحاد؟,2022-08-10,00:05:00
_vwliqPCc4E,أيهما أكثر إقناعاً..غيبيات الدين أم عقلانيات الإلحاد؟,2022-08-11,00:19:44
mg9eonAnImg,هل الإسلام دين كهنوتي أم دين علم ومعرفة؟,2022-08-11,00:13:19
sW58pGJot3M,هل هناك أدلة فعلية على وجود الله تعالى؟,2022-08-11,00:09:06
B-zav1S548U,الرد على افتراءات محمد شحرور بإباحة الفطر في رمضان,2022-08-11,00:27:53
77zuEktPTic,هل هناك إلحاد جديد؟,2022-08-11,00:11:40
c9VKDImXNVU,منهج الإلحاد الجديد.. عرضٌ ونقد,2022-08-11,00:15:17
UZn3aec6D2U,إسأل ولا تخف,2022-08-14,00:05:03
X43Xf-RLGAM,الإرهاب العلمي.. انشروا أوراقكم واربحوا نوبل,2022-08-16,00:14:24
EVU4uE894Lc,الصدفة… هل يمكنها خلق العين؟,2022-08-16,00:12:34
x0kEz76lA-c,الصدفة… هل يمكنها خلق العين؟ 2,2022-08-16,00:12:19
ert5EbAEbJY,الصدفة… هل يمكنها خلق العين؟ 3,2022-08-16,00:09:13
5vTxhARMO4Q,هل يتعارض التفسير الديني مع التفسير العلمي؟,2022-08-16,00:04:44
XDHXFJb_7j8,بوابة خلود الموتى,2022-08-16,00:09:24
RStx6qJYn5E,الحلقة  23 | الله بين تخيل الملحدين وتعقُل المؤمنين,2022-08-16,00:09:15
gVPvgAwlJy4,من خلق الله؟,2022-08-17,00:04:19
-EQXejn854k,لصوص الأجوبة الأنيقة,2022-08-17,00:08:29
TC56c2tlA0M,جدلية الشر.. أي الفريقين أحق الإيمان أم الإلحاد؟,2022-08-17,00:08:30
ABuf2OpWb08,الحلقة  27 | هل يؤدي العلم إلى الإلحاد؟,2022-08-17,00:07:57
6vcWudx3P20,هل يتناقض العلم مع الدين؟!,2022-08-17,00:15:10
os_rT2l2jPQ,هل هناك إله؟!,2022-08-17,00:14:10
bAejqvET0G8,الحلقة  30 | هل يمكن وجود قيم موضوعية دون وجود الله؟,2022-08-17,00:14:37
0V8sYJ3wcDE,لماذا أكثر علماء الطبيعة ملاحدة؟,2022-08-18,00:14:19
VGsN1WMNLMQ,المغالطات المنطقية,2022-08-23,00:06:41
CTPpTTUwpx8,المغالطات المنطقية 2,2022-08-23,00:04:51
4zINbu_ouB0,ضيف الكون المنتظر,2022-08-23,00:11:31
hdN8FU-l_Gs,لماذا يكون علي أن أؤمن بالله دون أن أراه؟,2022-08-23,00:10:03
8q7OWb7lzE0,هل القرآن الكريم كتاب هداية أم علم؟,2022-08-23,00:16:05
bpXG8e5crXY,التطور حقيقة علمية ولكن أي تطور؟,2022-08-23,00:14:16
1KK7CZPcUJU,هل المعجزة خرافة مستحيلة؟,2022-08-23,00:07:05
fx5w2Bs4uGc,هل القرآن تأليف بشري؟,2022-08-23,00:09:31
XlCwMJ_q03Q,كيف تسجد الشمس تحت العرش؟,2022-08-23,00:08:43
qipDnC8il_c,كيف ظهر الكون؟ بين الدين والإلحاد العلموي,2022-08-24,00:11:00
2QfQlY-YsnI,هل نؤمن بإله الفراغات كما يقول الملاحدة؟,2022-08-24,00:08:54
7fF2yKbtB78,معجزة رحلة الصيد,2022-08-24,00:09:57
TsWaDONP8nA,مدرسة الحقيقة الإبراهيمية,2022-08-24,00:13:14
6mFzHQE-25Q,دلال الطفل الغافل!,2022-08-24,00:10:10
lo63YxHmcPU,لماذا يستحق الله عبادتنا؟,2022-08-24,00:11:46
VVgilNguGJc,كيف نعرف أن النبي محمد ﷺ خاتم المرسلين؟,2022-08-24,00:15:02
CC8AB9K-0ZU,دراهم يوسف… هل تشكك في صدقية القرآن؟!,2022-09-01,00:02:27
TNw1ctl53bo,هل العلوم الطبيعية أقرب للموضوعية والحياد من العلوم الدينية والفلسفية؟,2022-09-05,00:16:40
naozZh1AUYo,هل يمكن وجود قيمة مطلقة للحياة دون وجود الله؟,2022-09-05,00:07:28
