id,title,uploadedAt,duration
-g41MUVhGL0,الاكتئاب أسبابه وعلاماته وعلاجه,2022-07-17,01:14:16
L4ji3Y4cm8s,مرض ثنائي القطب,2022-07-24,01:08:58
konsPo5kJPw,القلق,2022-07-31,01:10:12
fbbzI6fXEf4,الرُّهاب,2022-08-07,00:52:11
6oC6YvG_jqs,الوسواس القهري,2022-08-14,01:34:34
VY1XjI3mdL4,اضطراب الهَلَع,2022-08-21,00:49:56
_dhm615SyOc,اضطراب ما بعد الصَّدمة,2022-08-28,00:40:34
sNDXG3qM2j0,اضطراب الفِصام,2022-09-04,01:18:06
gMDMGLPlcoU,الاضطراب الضلالي,2022-09-11,00:51:26
zjsfuNbJrwA,اضطراب توهم المرض,2022-09-18,00:46:24
6N2AqQlPlxs,اضطراب الهذيان,2022-09-25,01:03:16
o_nZ4qOcm3Q,اضطرابات ما بعد الولادة,2022-10-02,00:46:27
