id,title,uploadedAt,duration
HTG87X8n_jE,ما قصة الجلسات؟ ومن أنا؟ طبيب نفسي أم معالج نفسي؟,2019-05-06,00:19:17
jn04TL3-kmA,لمن هذه الجلسات؟ وكيف يمكن الانتفاع منها؟,2019-05-08,00:11:42
4JUGxIBdqHM,التنمية البشرية: خرافة أم شعوذة أم علم؟ ما لها وما عليها؟ كيف أحكم؟,2019-05-08,00:14:04
0bp11HhXMdo,بين التنمية البشرية وفقه النفس,2019-05-10,00:12:20
-oIPp0TWrUU,مادة [فقه النفس]: ما هي؟ ومن أين جاءت؟ ولماذا؟ وما جديدها؟,2019-05-10,00:13:53
4ZL5uL_0HBo,من المقدمات إلى عتبات الوجود والمخلوقية = {اقرأ} أولا,2019-05-12,00:15:44
23aLD1S5bwU,المُدخَلات: ما هي؟ وما قصتها؟ وما علاقتها بالصحة النفسية؟,2019-05-13,00:15:00
mEDBTlvCoz0,خطر المُدخَلات في الإعلام والتربية والصورة والفن ومفهوم الشخصية,2019-05-13,00:15:09
TqX55qPfhzA,بين تطنيش المُدخَلات والجهل وضعف الشخصية,2019-05-14,00:15:31
a18LIO0-fjQ,المُدخلات ودائرة الجهل والأمراض النفسية,2019-05-15,00:14:42
Rth-Sr42Wps,بين الحس والتفكير: قصص حول أثر الجهل العام والخاص على النفس,2019-05-16,00:14:26
-MDRa6yBpqY,ألا يكفي التفكير؟ لماذا العقل؟ وما قصة الأمية المركّبة؟,2019-05-17,00:15:08
1SghU4IditI,من التفكير إلى العقل: هناك معوّقات؛ ما هي؟ وكيف أتجاوزها؟,2019-05-18,00:13:51
uuZiTHv-xsw,أتفلسف أم أعقل؟ منطق ومغالطات منطقية وعلم كلام ... ماذا عن القرآن؟,2019-05-19,00:15:31
Foz2moPaC8c,ما علاقة العقل بكلمة {اقرأ}؟ وما علاقة الإيمان بالمرض النفسي؟,2019-05-20,00:14:39
w5s6lnxVrh8,من الوجود إلى المخلوقية ... الأنانية والإيثار ... النفس والسرداب,2019-05-21,00:17:34
RUdUWCThL2k,قراءة النفس ... بر الوالدين ... ثانوية عامة ... تخصص جامعي,2019-05-22,00:16:13
Ma-s7ijp7kM,نفس = جسد + روح: لماذا؟ إعاقة جسدية أم روحية؟ ولماذا بكيت؟,2019-05-24,00:16:34
mMT9PV_bCkw,إعاقة روحية ... أمراض قلوب ... مُخرجات نفسية ... حجاب شرعي,2019-05-24,00:15:50
kXSR7_Tk9ck,المخلوقية ... الحاجات ... الإلحاد والإيمان ... قبول الضعف,2019-05-25,00:14:29
_sJQLEVofMU,المخلوقية والحاجة والألم واللذة - التعلق المرضي والتربية,2019-05-26,00:14:39
4-vwtITfO58,المخلوقية - الألم واللذة - التعلق - الغناء - المعقولات والتوقعات,2019-05-27,00:15:27
YXs3D6aUl2M,جلسات #مع_نفسي 23 - المخلوقية - الألم واللذة - الشقاء والكبد - الطمأنينة والسعادة والرضا,2019-05-28,00:16:09
maimLDSNgOI,الزهد النفسي - التعبير - الصدقة النفسية - الحيل النفسية والمُخادعات,2019-05-29,00:17:17
KDRn6waN5cc,التعبير - الحيل النفسية والمُخادَعات - الضحك وخطورته - قسوة القلب,2019-05-30,00:13:04
C9trK9q7I_Y,الاستبصار والتبصر وقراءة النفس - كراسة قراءة النفس: ماذا؟ لماذا؟ وكيف؟,2019-05-31,00:15:18
chM1MffT_Yw,قبول الضعف - كيف أقبل ضعفي؟ ولماذا؟ ولكني أخشى التقاعس واليأس إذا قبلت ضعفي؟,2019-06-01,00:16:36
7aUOt2LyL_0,من التخلية إلى التحلية - ماذا أحتاج لصحة نفسية أساسية؟,2019-06-01,00:16:10
M3EFmnoaakU,بين قبول الضعف والتخلية والتفريغ - بين بر الوالدين ورضا الوالدين,2019-06-02,00:17:09
DDfvTAMhKj4,مفهوم التزكية وتقدير النفس - نصائح الختام والخلاصة,2019-06-03,00:17:13
