id,title,uploadedAt,duration
IJYRoq75Mx0,الحلقة 1,2022-05-24,02:05:34
WNdM2B9mqGc,الحلقة 2,2022-05-31,01:59:43
lRnz4eOCUoY,آثار الغضب,2022-06-07,01:35:35
Dt0uVDFH9Wk,الأسباب 1,2022-06-14,01:44:00
zqEY2IRntvQ,الأسباب 2,2022-06-21,02:00:03
3wSZ2h7uxO4,الأسباب 3,2022-06-28,02:00:09
jPunfYDJOaM,موجز ما سبق,2023-05-15,01:32:45
80KIzngzFVU,تفصيل أسباب الغضب في الآفاق والأنفس,2023-05-22,01:27:45
uxPCMbGRbfA,موانع الغضب,2023-05-29,01:28:40
UkNjlS3qjAs,وقايات الغضب المذموم,2023-06-05,01:35:15
NS2FHvkJMQs,أمثلة عملية بين الوقاية والعلاج,2023-06-12,01:39:55
4vOzDfunDSs,من الوقاية إلى العلاج,2023-06-19,01:15:40
i6syDBkNmR0,العلاج,2023-06-26,01:41:20
