id,title,uploadedAt,duration
yMNIqT49oSM,سورة يوسف 01,2025-02-28,01:24:00
GTFhUctcvhE,سورة يوسف 02,2025-03-01,01:14:35
F1yHZrnoPkE,سورة يوسف 03 - الآيات 023 - 034,2025-03-02,01:16:30
rmEnm3uPVDs,سورة يوسف 04 - الآيات 035 - 057,2025-03-03,01:24:14
S9NW1MfDppI,سورة يوسف 05 - الآيات 058 - 100,2025-03-04,01:22:28
GJ7BaG8k2Wk,سورة يوسف 06 - الآيات 101 - 111,2025-03-05,01:21:59
MeIO13Po9mk,سورة يوسف 07 - إجابة الأسئلة 01,2025-03-07,01:52:57
feVqc5F2MAs,سورة الكهف 01 - الآيات 001 - 026,2025-03-07,01:40:08
0FCOxb3aymc,سورة الكهف 02 - الآيات 027 - 044,2025-03-08,01:27:00
gdP9RAMe8Sk,سورة الكهف 03 - الآيات 045 - 059,2025-03-09,01:25:27
QWCrKSeFa04,سورة الكهف 04 - الآيات 060 - 078,2025-03-10,01:25:57
ShTymYhtsjU,سورة الكهف 05 - الآيات 079 - 110,2025-03-11,01:48:53
1j8ULYIkpzA,سورة الكهف 06 - إجابات الأسئلة 01,2025-03-14,01:42:11
QWU0CF92wf8,سورة مريم 01 - الآيات 001 - 015,2025-03-14,01:23:54
3ttrg8jiOKM,سورة مريم 02 - الآيات 016 - 029,2025-03-15,01:34:30
GqKQeFaWvJ0,سورة مريم 03 - الآيات 029 - 058,2025-03-16,01:36:28
9SD9uH2auiU,سورة مريم 04 - الآيات 059 - 098,2025-03-17,01:30:42
bssePBGy8RQ,سورة يوسف 08 + سورة الكهف 07 - تتمة إجابة الأسئلة,2025-03-18,01:36:57
1oCLeDcMKao,سورة الكهف 08 - تتمة إجابة الأسئلة,2025-03-19,01:40:54
3fmMMi0us7o,سورة مريم 05 - إجابة الأسئلة 01,2025-03-21,01:36:11
dNgd3rtgo4M,سورة مريم 06 - إجابة الأسئلة 02,2025-03-21,01:47:09
I7WnucYqAL0,سورة مريم 07 - إجابة الأسئلة 03 (لم نفرغ من الأسئلة بعد),2025-03-22,02:08:11
HgrZciqApQ8,سورة طه 01 - الآيات 001 - 008,2025-03-23,01:37:17
HzeYa1cVcsw,سورة طه 02 - الآيات 009 - 023,2025-03-24,01:39:21
6cwD7YN2TT8,سورة طه 03 - الآيات 024 - 046,2025-03-25,01:41:50
75gVN9aXufQ,سورة طه 04 - الآيات 047 - 076,2025-03-26,01:51:44
_WMkB82uA5o,سورة طه 05 - الآيات 076 - 098,2025-03-27,01:48:09
H0ceCDK0RtY,سورة طه 06 - الآيات 099 - 135,2025-03-28,02:29:54
z38D0wnDKzM,سورة مريم 08 - تتمة إجابة الأسئلة 04 + خلاصات + خطة ما بعد رمضان,2025-03-30,01:30:04
KwSlBWYxNes,سورة طه 07 - إجابة الأسئلة 01,2025-04-07,01:32:18
4dKfCCIP2zI,سورة طه 08 - إجابة الأسئلة 02,2025-04-11,01:34:21
guhxYDfIvXI,سورة يوسف 07 -  إجابات الأسئلة 02,2025-06-28,01:22:48
